ইংলিশ চ্যানেল
আড্রিয়াটিক সাগর
হলুদ সাগর
আরব সাগর
বাল্টিক সাগর
শ্বেত সাগর
কান্তাব্রিয়ান সাগর
ক্যারিবীয় সাগর
কাস্পিয়ান সাগর
কেল্টিক সাগর
আলবোরান সাগর
আন্দামান সাগর
আরাফুরা সাগর
আরাল সাগর
আজভ সাগর
বান্দা সাগর
বারেন্টস সাগর
বেরিং সাগর
বিসমার্ক সাগর
সেলেবেস সাগর
দক্ষিণ চীন সাগর
পূর্ব চীন সাগর
কোরাল সাগর
ফিলিপাইন সাগর
ফ্রিসিয়ান সাগর
হালমাহেরা সাগর
আইরিশ সাগর
মারমারা সাগর
ওখোটস্ক সাগর
সলোমন সাগর
পূর্ব সাইবেরীয় সাগর
সুলু সাগর
তাসমান সাগর
তিমুর সাগর
উত্তর সাগর
এজিয়ান সাগর
সেতো অন্তঃসাগর
আইওনীয় সাগর
কারা সাগর
লাপতেভ সাগর
ভূমধ্যসাগর
মৃত সাগর
কৃষ্ণ সাগর
লোহিত সাগর
টাইরেনিয়ান সাগর
